"Ajax Search","Ajax Search"
"Show in left column","Show in left column"
"Show in right column","Show in right column"
"Category filter combobox","Category filter combobox"
"Show category filter combobox","Show category filter combobox"
"Count of category levels to show","Count of category levels to show"
"Set 0, to show all levels","Set 0, to show all levels"
"Categories to hide","Categories to hide"
"Categories to show","Categories to show"
"Comma separated category ids","Comma separated category ids"
"Input field settings","Input field settings"
"Default text in search field","Default text in search field"
"Minimal number of chars to show suggest","Minimal number of chars to show suggest"
"Show ajax loader icon","Show ajax loader icon"
"Suggest popup","Suggest popup"
"Text on the top of popup","Text on the top of popup"
"Text on the bottom of popup","Text on the bottom of popup"
"Product display settings","Product display settings"
"Show short description","Show short description"
"Description length","Description length"
"Show thumbnail","Show thumbnail"
"Search results","Search results"
"Number of products to show","Number of products to show"
"Search by","Search by"
"Show catalog categories in result","Show catalog categories in result"
"Show cms pages in result","Show cms pages in result"
"Product base price","Product base price"
"Descending","Descending"
"Ascending","Ascending"
"Search","Search"
"Search Site","Search Site"
"Search entire store here","Search entire store here"
"Advanced search","Advanced search"
"Category Products","Category Products"
