"Ajax Pro","Ajax Pro"
"Continue shopping","Continue shopping"
"Go to Wishlist","Go to Wishlist"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"View cart & checkout","View cart & checkout"
"Compare Items","Compare Items"
"center","Center"
"top","Top"
"bottom","Bottom"
"General","General"
"Location","Location"
"Opacity message form (0 - 1)","Opacity message form (0 - 1)"
"Add to Cart","Add to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Enabled","Enabled"
"Disable On Shopping Cart Page","Disable On Shopping Cart Page"
"General","General"
"Enable Ajax Pro","Enable Ajax Pro"
"Message window position","Message window position"
"Message window opacity (0 - 1)","Message window opacity (0 - 1)"
"Message window message","Message window message"
"Enable Notice Form","Enable Notice Form"
"Disable On Shopping Cart Page","Disable On Shopping Cart Page"
"Enable","Enable"
"Enable message window","Enable message window"
"Enable delete confirm","Enable delete confirm"
"My Cart (%s item)","My Cart (%s item)"
"My Cart","My Cart"
"More Products","More Products"
"Product not available","Product not available"
"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"Can not add item to shopping cart","Can not add item to shopping cart"
"Update successful","Update successful"
"Shopping cart item(s) remove","Shopping cart item(s) remove"
"Product %s successfully removed from compare list","Product %s successfully removed from compare list"
"Product %s successfully added to compare list","Product %s successfully added to compare list"
"There was an error while cleared compare list","There was an error while cleared compare list"
"Compare list successfully cleared","Compare list successfully cleared"
"My Wishlist (%d items)","My Wishlist (%d items)"
"My Wishlist","My Wishlist"
"wishlist model error","wishlist model error"
"productId param not set","productId param not set"
"Cannot specify product","Cannot specify product"
"%1$s was successfully added to your wishlist. Click <a href="%2$s">here</a> to continue shopping","%1$s was successfully added to your wishlist. Click <a href="%2$s">here</a> to continue shopping"
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"Redirect","Redirect"
"Action was complete","Action was complete"
"Hide message window after x seconds","Hide message window after x seconds"
