"Manage Sliders","Manage Sliders"
"Add Slider","Add Slider"
"ID","ID"
"Title,"Title"
"Created Time","Created Time"
"Modified Time","Modified Time"
"Status","Status"
"Save Slider","Save Slider"
"Delete Slider","Delete Slider"
"Edit Slider '%s'","Edit Slider '%s'"
"Add Slider","Add Slider"
"Slider information","Slider information"
"Configuration","Configuration"
"Slides","Slides"
"General","General"
"Slider Type","Slider Type"
"Prototype Slider","Prototype Slider"
"Nivo Slider (jQuery)","Nivo Slider (jQuery)"
"Enabled","Enabled"
"Disabled","Disabled"
"Prototype Slider Options","Prototype Slider Options"
"Identifier","Identifier"
"Controls type","Controls type"
"Numbers","Numbers"
"Arrows","Arrows"
"Width","Width"
"Height","Height"
"Effect","Effect"
"Scroll","Scroll"
"Speedscroll","Speedscroll"
"Fade","Fade"
"Blend","Blend"
"Mosaic","Mosaic"
"Duration","Duration"
"Frequency","Frequency"
"Autoglide","Autoglide"
"Nivo Slider Options","Nivo Slider Options"
"Theme","Theme"
"Default","Default"
"Light","Light"
"Dark","Dark"
"Bar","Bar"
"Slices(For slice animations)","Slices(For slice animations)"
"Box Cols(For box animations)","Box Cols(For box animations)"
"Box Rows(For box animations)","Box Rows(For box animations)"
"Slide transition speed","Slide transition speed"
"How long each slide will show","How long each slide will show"
"Next & Prev navigation","Next & Prev navigation"
"Yes","Yes"
"No","No"
"Use thumbnails for Control Nav","Use thumbnails for Control Nav"
"Stop animation while hovering","Stop animation while hovering"
"Add New Slide","Add New Slide"
"Delete Slide","Delete Slide"
"Manage Sliders","Manage Sliders"
"Edit Slider","Edit Slider"
"Slide does not exist","Slide does not exist"
"Destination folder is not writable or does not exists.","Destination folder is not writable or does not exists."
"Slider was successfully saved","Slider was successfully saved"
"Easyslide","Easyslide"
"Load jQuery Library, when using Nivo slider (No Conflict Mode)","Load jQuery Library, when using Nivo slider (No Conflict Mode)"
"General","General"
"Random","Random"
"Slice Down","Slice Down"
"Slice Down Left","Slice Down Left"
"Slice Down Right","Slice Down Right"
"Slice Up","Slice Up"
"Slice Up Left","Slice Up Left"
"Slice Up Right","Slice Up Right"
"Slice Up Down","Slice Up Down"
"Slice Up Down Left","Slice Up Down Left"
"Slice Up Down Right","Slice Up Down Right"
"Fold","Fold"
"Fade","Fade"
"Slide In Right","Slide In Right"
"Slide In Left","Slide In Left"
"Box Random","Box Random"
"Box Rain","Box Rain"
"Box Rain Reverse","Box Rain Reverse"
"Box Rain Grow","Box Rain Grow"
"Box Rain Grow Reverse","Box Rain Grow Reverse"
"Slide name","Slide name"
"Image URL","Image URL"
"Target URL","Target URL"
"Sort Order","Sort Order"
"Is Enabled","Is Enabled"
"Description","Description"
"Desc Position","Desc Position"
"Desc Background","Desc Background"
