"%s is not correct comparsion method.","%s не дійсний метод порівняння."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Дозволена к-ть нижче 0"
"Allow Qty Below 0 and Notify Customer","Дозволити кількість нижче 0 та повідомити клієнта"
"Backorders","Попереднє замовлення"
"By Fixed value","За фіксованим значенням"
"By Percentage","За відсотковим співвідношенням"
"Can not specify product identifier for order item","Неможливо визначити ідентифікатор товару для замовлення"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Зменшити кількість товару при розміщенні замовлення"
"In Stock","На складі"
"Inventory","Асортимент"
"Inventory API","інвентар API"
"Inventory Section","розділ інвентару"
"Manage Stock","Керувати наявністю"
"Maximum Qty Allowed in Shopping Cart","Максимальна кількість дозволена в кошику"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кількість дозволена в кошику"
"No Backorders","Попереднє замовлення недоступне"
"Notify for Quantity Below","Повідомити про кількість нижче"
"Out of Stock","Закінчився"
"Product Stock Options","Опції товару на складі"
"Qty for Items' Status to become Out of Stock","Кількість для товарів' коли закінчуються"
"Retrieve stock data","Отримати дані про запаси"
"Retrieve stock data by product ids","Отримати дані про запаси по ідентифікаторам продукції"
"Rule price","Ціна для правила"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Варіанти наявності товару"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","Максимальна кількість, яка доступна для замовлення це %s."
"The minimum quantity allowed for purchase is %s.","Мінімальна кількість, яка доступна для замовлення це %s."
"The requested quantity for ""%s"" is not available.","Необхідна кількість у розмірі ""%s"" недоступна."
"The requested quantity is not available.","Необхідна кількість недоступна."
"This product is currently out of stock.","Цей товар вже закінчився."
"To Fixed Value","До фіксованого значення"
"To Percentage","До відсоткового співвідношення"
"Update","Оновити"
"Update product stock data","Оновити дату товару на складі"
"Update the Product","Оновити продукт"
